time;ckpt;id;money
328;gate-keeper;0;
356;meat_1;0;
467;final-crs_5;0;1123
568;gate-keeper;1;
569;gate-keeper;2;
576;vege_0;1;
583;meat_1;2;
661;final-crs_0;1;395
675;final-crs_1;2;1124
826;gate-keeper;3;
833;vege_0;3;
866;final-crs_0;3;1096
1150;gate-keeper;4;
1151;gate-keeper;5;
1155;meat_1;4;
1158;vege_1;5;
1164;final-crs_1;4;571
1176;final-crs_5;5;1093
1462;gate-keeper;6;
1468;vege_1;6;
1488;final-crs_4;6;1441
1758;gate-keeper;7;
1759;gate-keeper;8;
1764;vege_1;7;
1766;vege_0;8;
1798;final-crs_0;7;855
1854;final-crs_5;8;921
2123;gate-keeper;9;
2124;gate-keeper;10;
2126;vege_0;9;
2126;vege_1;10;
2131;final-crs_2;9;1505
2156;final-crs_3;10;530
2439;gate-keeper;11;
2445;vege_1;11;
2454;final-crs_0;11;628
2735;gate-keeper;12;
2736;gate-keeper;13;
2737;vege_0;13;
2739;frui_1;12;
2762;final-crs_4;13;609
2811;final-crs_2;12;568
3024;gate-keeper;14;
3025;vege_1;14;
3051;final-crs_4;14;67
3347;gate-keeper;15;
3348;vege_1;15;
3348;gate-keeper;16;
3350;vege_0;16;
3405;final-crs_0;15;814
3455;gate-keeper;17;
3459;vege_0;17;
3531;final-crs_2;16;864
3550;final-crs_3;17;397
3595;gate-keeper;18;
3599;vege_1;18;
3634;final-crs_0;18;78
3932;gate-keeper;19;
3942;meat_1;19;
4032;final-crs_2;19;225
4232;gate-keeper;20;
4233;gate-keeper;21;
4237;vege_1;20;
4241;vege_0;21;
4270;final-crs_2;20;75
4279;final-crs_3;21;75
4503;gate-keeper;22;
4504;vege_0;22;
4523;final-crs_3;22;1635
4700;gate-keeper;23;
4706;vege_0;23;
4740;final-crs_2;23;780
4784;gate-keeper;24;
4791;frui_0;24;
4813;final-crs_4;24;597
5076;gate-keeper;25;
5080;vege_1;25;
5124;final-crs_1;25;1445
5327;gate-keeper;26;
5333;vege_0;26;
5378;final-crs_1;26;986
5636;gate-keeper;27;
5637;gate-keeper;28;
5640;vege_1;28;
5640;meat_1;27;
5647;final-crs_2;28;1407
5699;final-crs_3;27;458
5917;gate-keeper;29;
5919;frui_0;29;
5957;final-crs_0;29;766
6199;gate-keeper;30;
6200;frui_0;30;
6200;gate-keeper;31;
6203;vege_1;31;
6223;final-crs_3;30;1223
6283;final-crs_4;31;274
6521;gate-keeper;32;
6523;vege_1;32;
6524;final-crs_4;32;1021
