time;ckpt;id;money
293;gate-keeper;0;
294;gate-keeper;1;
295;gate-keeper;2;
297;vege_1;0;
301;vege_0;1;
345;meat_0;2;
422;final-crs_3;0;853
426;final-crs_5;1;818
441;final-crs_8;2;497
652;gate-keeper;3;
653;gate-keeper;4;
654;gate-keeper;5;
655;vege_1;4;
655;gate-keeper;6;
661;vege_0;5;
663;final-crs_4;4;610
685;meat_1;3;
686;meat_0;6;
688;final-crs_5;5;601
689;final-crs_1;3;753
689;final-crs_11;6;365
903;gate-keeper;7;
904;gate-keeper;8;
905;gate-keeper;9;
907;vege_0;9;
909;meat_1;7;
924;final-crs_1;9;1591
931;final-crs_8;7;148
938;meat_0;8;
943;final-crs_6;8;892
1232;gate-keeper;10;
1233;gate-keeper;11;
1234;gate-keeper;12;
1235;gate-keeper;13;
1240;vege_1;10;
1242;vege_0;12;
1249;vege_1;13;
1250;final-crs_9;10;561
1251;final-crs_12;12;1241
1266;meat_1;11;
1285;final-crs_0;13;1421
1338;final-crs_3;11;64
1552;gate-keeper;14;
1553;frui_0;14;
1553;gate-keeper;15;
1554;gate-keeper;16;
1555;gate-keeper;17;
1561;final-crs_3;14;111
1561;vege_0;15;
1562;vege_1;16;
1567;meat_1;17;
1602;final-crs_1;15;1261
1606;final-crs_11;16;754
1625;final-crs_4;17;1137
1811;gate-keeper;18;
1812;gate-keeper;19;
1813;gate-keeper;20;
1816;vege_1;19;
1826;final-crs_1;19;509
1842;meat_1;18;
1850;final-crs_11;18;331
1857;meat_0;20;
1893;final-crs_8;20;1359
1981;gate-keeper;21;
1982;gate-keeper;22;
1983;vege_1;22;
2006;final-crs_3;22;634
2027;meat_0;21;
2070;final-crs_1;21;668
2092;gate-keeper;23;
2096;vege_1;23;
2107;final-crs_10;23;956
2397;gate-keeper;24;
2398;frui_0;24;
2398;gate-keeper;25;
2399;final-crs_8;24;76
2399;gate-keeper;26;
2400;vege_1;25;
2401;final-crs_7;25;368
2423;meat_0;26;
2446;final-crs_12;26;263
2624;gate-keeper;27;
2625;gate-keeper;28;
2626;gate-keeper;29;
2627;vege_0;27;
2628;frui_0;29;
2632;vege_1;28;
2634;final-crs_1;27;965
2637;final-crs_4;29;1130
2655;final-crs_2;28;1014
2824;gate-keeper;30;
2825;gate-keeper;31;
2832;vege_0;30;
2833;vege_1;31;
2834;final-crs_6;30;1419
2841;final-crs_5;31;590
2933;gate-keeper;32;
2935;vege_1;32;
2957;final-crs_9;32;1500
3270;gate-keeper;33;
3271;gate-keeper;34;
3272;gate-keeper;35;
3273;vege_1;34;
3273;gate-keeper;36;
3280;vege_0;36;
3286;meat_1;33;
3290;final-crs_11;34;239
3299;final-crs_6;36;1270
3306;meat_0;35;
3316;final-crs_5;33;822
3334;final-crs_1;35;273
3554;gate-keeper;37;
3555;gate-keeper;38;
3556;gate-keeper;39;
3565;vege_0;38;
3566;vege_1;39;
3571;final-crs_8;38;1167
3581;final-crs_1;39;939
3581;meat_1;37;
3582;final-crs_5;37;1530
3678;gate-keeper;40;
3679;gate-keeper;41;
3683;frui_0;41;
3701;meat_0;40;
3780;final-crs_6;41;270
3812;final-crs_1;40;340
3847;gate-keeper;42;
3848;gate-keeper;43;
3850;vege_1;43;
3854;final-crs_4;43;580
3863;meat_1;42;
3866;final-crs_9;42;660
4109;gate-keeper;44;
4110;gate-keeper;45;
4111;gate-keeper;46;
4113;vege_1;45;
4115;vege_0;46;
4115;frui_0;44;
4116;final-crs_5;45;255
4135;final-crs_10;46;701
4171;final-crs_0;44;1375
4412;gate-keeper;47;
4413;gate-keeper;48;
4414;gate-keeper;49;
4420;vege_1;47;
4433;final-crs_6;47;1038
4453;meat_1;48;
4464;meat_0;49;
4501;gate-keeper;50;
4502;vege_1;50;
4509;final-crs_11;48;1562
4529;final-crs_1;49;197
4537;final-crs_3;50;1261
4726;gate-keeper;51;
4727;gate-keeper;52;
4728;gate-keeper;53;
4729;vege_0;52;
4749;meat_0;51;
4753;final-crs_8;52;2004
4759;final-crs_1;51;1339
4786;meat_1;53;
4819;final-crs_4;53;1376
5028;gate-keeper;54;
5029;vege_1;54;
5029;gate-keeper;55;
5030;vege_0;55;
5030;gate-keeper;56;
5032;meat_1;56;
5036;final-crs_1;54;1582
5042;final-crs_12;55;1716
5043;final-crs_10;56;108
5267;gate-keeper;57;
5268;vege_1;57;
5268;gate-keeper;58;
5269;gate-keeper;59;
5270;vege_0;58;
5274;frui_1;59;
5277;final-crs_10;57;681
5287;final-crs_12;58;966
5301;final-crs_3;59;981
5452;gate-keeper;60;
5453;vege_1;60;
5453;gate-keeper;61;
5454;vege_0;61;
5503;final-crs_11;60;235
5509;final-crs_10;61;944
5514;gate-keeper;62;
5521;vege_1;62;
5535;final-crs_1;62;261
5800;gate-keeper;63;
5801;meat_1;63;
5801;gate-keeper;64;
5802;gate-keeper;65;
5803;gate-keeper;66;
5807;vege_0;64;
5809;vege_1;65;
5814;final-crs_6;63;971
5816;vege_0;66;
5819;final-crs_3;64;203
5824;final-crs_4;65;634
5835;final-crs_7;66;392
6084;gate-keeper;67;
6085;vege_1;67;
6085;gate-keeper;68;
6086;gate-keeper;69;
6089;vege_0;68;
6092;final-crs_4;67;213
6093;vege_1;69;
6102;final-crs_8;68;121
6125;final-crs_2;69;401
6400;gate-keeper;70;
6401;gate-keeper;71;
6402;gate-keeper;72;
6403;gate-keeper;73;
6407;vege_1;71;
6409;vege_0;73;
6432;final-crs_2;71;307
6452;final-crs_10;73;445
6453;meat_1;70;
6461;final-crs_6;70;382
6467;meat_0;72;
6471;final-crs_11;72;842
6739;gate-keeper;74;
6740;gate-keeper;75;
6741;gate-keeper;76;
6742;gate-keeper;77;
6747;vege_0;74;
6747;vege_1;75;
6752;meat_0;76;
6756;final-crs_4;74;844
6760;meat_1;77;
6770;final-crs_7;75;142
6782;final-crs_5;76;692
6792;final-crs_3;77;983
7037;gate-keeper;78;
7038;gate-keeper;79;
7039;gate-keeper;80;
7041;vege_1;78;
7045;vege_0;80;
7054;meat_1;79;
7073;final-crs_12;78;761
7077;final-crs_8;80;217
7125;final-crs_9;79;483
7297;gate-keeper;81;
7298;gate-keeper;82;
7299;vege_1;81;
7299;gate-keeper;83;
7300;gate-keeper;84;
7303;vege_0;82;
7303;meat_0;83;
7305;frui_0;84;
7318;final-crs_8;81;555
7318;final-crs_12;82;552
7356;final-crs_1;83;532
7363;final-crs_9;84;1408
7391;gate-keeper;85;
7398;vege_1;85;
7420;final-crs_2;85;140
7631;gate-keeper;86;
7632;gate-keeper;87;
7637;vege_1;86;
7638;vege_0;87;
7651;final-crs_9;86;376
7656;final-crs_2;87;60
7960;gate-keeper;88;
7961;gate-keeper;89;
7962;gate-keeper;90;
7963;vege_0;89;
7963;vege_1;90;
7963;gate-keeper;91;
7972;vege_0;91;
7975;final-crs_6;89;1788
7988;final-crs_3;90;990
7988;meat_1;88;
8014;final-crs_12;91;820
8031;final-crs_1;88;127
8303;gate-keeper;92;
8304;gate-keeper;93;
8305;frui_0;92;
8305;gate-keeper;94;
8306;gate-keeper;95;
8312;final-crs_10;92;842
8340;meat_1;93;
8341;final-crs_2;93;1319
8357;meat_0;94;
8381;final-crs_9;94;1031
8385;gate-keeper;96;
8388;vege_1;96;
8402;meat_1;95;
8403;final-crs_0;96;775
8414;final-crs_6;95;92
8554;gate-keeper;97;
8555;gate-keeper;98;
8556;vege_0;97;
8557;vege_1;98;
8559;final-crs_1;97;166
8624;final-crs_9;98;274
8884;gate-keeper;99;
8885;frui_0;99;
8885;gate-keeper;100;
8886;gate-keeper;101;
8887;gate-keeper;102;
8888;frui_1;102;
8890;vege_0;100;
8892;vege_1;101;
8916;final-crs_7;99;1597
8951;final-crs_12;102;374
8968;final-crs_3;100;364
8984;final-crs_10;101;290
9135;gate-keeper;103;
9136;gate-keeper;104;
9137;gate-keeper;105;
9138;vege_0;104;
9139;final-crs_9;104;206
9143;vege_1;105;
9154;meat_1;103;
9181;final-crs_12;105;782
9185;final-crs_7;103;1082
9456;gate-keeper;106;
9457;gate-keeper;107;
9458;gate-keeper;108;
9459;gate-keeper;109;
9460;frui_0;108;
9461;vege_0;106;
9462;vege_1;107;
9468;final-crs_2;108;75
9468;final-crs_5;106;785
9471;vege_0;109;
9499;final-crs_8;107;821
9501;final-crs_1;109;1143
9749;gate-keeper;110;
9750;gate-keeper;111;
9751;gate-keeper;112;
9752;vege_0;110;
9754;final-crs_1;110;106
9755;frui_0;112;
9758;meat_1;111;
9759;final-crs_8;112;219
9760;final-crs_5;111;1539
10005;gate-keeper;113;
10006;gate-keeper;114;
10007;gate-keeper;115;
10009;vege_0;113;
10011;vege_1;115;
10012;meat_1;114;
10019;final-crs_1;113;618
10019;final-crs_4;115;383
10036;final-crs_10;114;1104
10152;gate-keeper;116;
10153;vege_1;116;
10153;gate-keeper;117;
10160;vege_0;117;
10164;final-crs_3;116;423
10180;final-crs_2;117;314
10304;gate-keeper;118;
10305;gate-keeper;119;
10307;vege_1;118;
10313;vege_0;119;
10328;final-crs_10;118;627
10361;final-crs_9;119;275
10604;gate-keeper;120;
10605;gate-keeper;121;
10606;meat_0;120;
10606;gate-keeper;122;
10607;gate-keeper;123;
10608;vege_0;123;
10615;final-crs_3;120;832
10616;final-crs_9;123;364
10659;meat_1;121;
10667;final-crs_2;121;1136
10672;meat_0;122;
10679;final-crs_0;122;675
10887;gate-keeper;124;
10888;gate-keeper;125;
10889;vege_0;124;
10889;gate-keeper;126;
10894;vege_1;125;
10899;vege_0;126;
10908;final-crs_0;124;1298
10921;final-crs_5;125;424
10931;final-crs_2;126;470
11128;gate-keeper;127;
11129;gate-keeper;128;
11131;frui_0;127;
11132;final-crs_5;127;428
11139;meat_1;128;
11142;final-crs_0;128;793
11220;gate-keeper;129;
11221;gate-keeper;130;
11222;vege_0;130;
11223;meat_0;129;
11237;final-crs_1;130;1237
11274;final-crs_9;129;996
11477;gate-keeper;131;
11478;gate-keeper;132;
11479;gate-keeper;133;
11481;vege_1;132;
11482;final-crs_1;132;87
11486;vege_0;133;
11520;final-crs_9;133;737
11526;meat_1;131;
11537;final-crs_10;131;971
11759;gate-keeper;134;
11760;gate-keeper;135;
11761;gate-keeper;136;
11764;vege_0;134;
11764;vege_1;135;
11766;final-crs_12;134;1058
11773;vege_0;136;
11796;final-crs_7;135;635
11805;final-crs_10;136;119
12152;gate-keeper;137;
12153;gate-keeper;138;
12154;gate-keeper;139;
12155;gate-keeper;140;
12156;gate-keeper;141;
12160;vege_0;137;
12160;vege_1;138;
12166;meat_0;139;
12169;vege_1;141;
12173;meat_1;140;
12190;final-crs_6;137;1614
12197;final-crs_9;138;1067
12201;final-crs_4;139;321
12218;final-crs_1;141;1381
12242;final-crs_12;140;780
12485;gate-keeper;142;
12486;gate-keeper;143;
12487;vege_1;142;
12487;gate-keeper;144;
12488;vege_0;143;
12488;gate-keeper;145;
12495;vege_0;145;
12506;final-crs_12;142;536
12526;meat_0;144;
12544;final-crs_5;143;86
12549;final-crs_7;145;500
12601;final-crs_3;144;946
12813;gate-keeper;146;
12814;vege_1;146;
12814;gate-keeper;147;
12815;gate-keeper;148;
12816;gate-keeper;149;
12819;frui_0;147;
12820;frui_1;149;
12832;meat_1;148;
12855;final-crs_8;146;1216
12856;final-crs_2;147;166
12857;final-crs_3;149;1182
12898;final-crs_0;148;650
13110;gate-keeper;150;
13111;gate-keeper;151;
13112;gate-keeper;152;
13116;vege_1;150;
13119;final-crs_3;150;1188
13120;vege_0;151;
13129;meat_1;152;
13139;final-crs_0;151;749
13140;final-crs_9;152;368
13423;gate-keeper;153;
13424;gate-keeper;154;
13425;gate-keeper;155;
13426;gate-keeper;156;
13427;vege_1;155;
13427;frui_0;156;
13437;meat_1;153;
13470;final-crs_1;155;1814
13473;final-crs_4;156;1151
13477;meat_0;154;
13482;final-crs_7;153;345
13491;final-crs_12;154;992
13786;gate-keeper;157;
13787;gate-keeper;158;
13788;gate-keeper;159;
13789;vege_0;157;
13789;gate-keeper;160;
13796;vege_1;159;
13796;meat_0;158;
13798;vege_0;160;
13817;final-crs_3;157;104
13831;final-crs_0;159;1821
13849;final-crs_11;158;393
13858;final-crs_6;160;1215
14133;gate-keeper;161;
14134;vege_0;161;
14134;gate-keeper;162;
14135;gate-keeper;163;
14136;gate-keeper;164;
14142;final-crs_6;161;122
14142;vege_0;164;
14143;final-crs_4;164;698
14158;meat_1;162;
14161;final-crs_1;162;1175
14163;meat_0;163;
14215;final-crs_7;163;763
14277;gate-keeper;165;
14278;gate-keeper;166;
14280;vege_1;165;
14291;meat_0;166;
14299;final-crs_8;165;989
14323;final-crs_11;166;870
14422;gate-keeper;167;
14441;meat_1;167;
14459;final-crs_7;167;890
14472;gate-keeper;168;
14489;meat_1;168;
14500;final-crs_3;168;929
14722;gate-keeper;169;
14723;gate-keeper;170;
14724;gate-keeper;171;
14726;frui_1;169;
14729;vege_0;170;
14729;vege_1;171;
14734;final-crs_7;169;368
14752;final-crs_3;170;128
14766;final-crs_12;171;880
15022;gate-keeper;172;
15023;gate-keeper;173;
15024;gate-keeper;174;
15025;gate-keeper;175;
15028;frui_0;174;
15031;final-crs_12;174;1186
15031;vege_0;175;
15034;final-crs_2;175;534
15072;meat_0;172;
15078;meat_1;173;
15118;final-crs_10;172;656
15131;final-crs_0;173;1202
15204;gate-keeper;176;
15205;gate-keeper;177;
15206;frui_1;177;
15209;final-crs_5;177;475
15235;meat_0;176;
15251;final-crs_2;176;108
