time;ckpt;id;money
236;gate-keeper;0;
237;gate-keeper;1;
238;meat_1;1;
240;vege_0;0;
242;final-crs_6;1;1761
245;final-crs_1;0;1478
547;gate-keeper;4;
548;gate-keeper;5;
549;vege_1;4;
549;gate-keeper;6;
557;vege_0;6;
598;meat_0;5;
624;final-crs_2;4;1943
697;final-crs_7;6;452
701;final-crs_5;5;424
1127;gate-keeper;12;
1128;gate-keeper;13;
1129;vege_0;13;
1149;final-crs_0;13;664
1168;meat_1;12;
1219;final-crs_5;12;1189
1700;gate-keeper;19;
1701;gate-keeper;20;
1702;gate-keeper;21;
1703;vege_0;19;
1706;vege_1;20;
1714;final-crs_5;19;865
1732;meat_1;21;
1758;final-crs_8;20;1201
1784;final-crs_3;21;1119
1852;gate-keeper;23;
1857;vege_0;23;
1885;final-crs_1;23;586
1954;gate-keeper;24;
1976;meat_1;24;
1999;final-crs_3;24;666
2250;gate-keeper;25;
2251;gate-keeper;26;
2252;frui_0;25;
2252;gate-keeper;27;
2253;gate-keeper;28;
2256;vege_1;27;
2261;meat_1;26;
2262;final-crs_6;25;1412
2270;final-crs_8;27;1608
2287;meat_0;28;
2329;final-crs_2;26;170
2350;final-crs_1;28;709
2533;gate-keeper;29;
2534;gate-keeper;30;
2535;gate-keeper;31;
2536;gate-keeper;32;
2537;vege_1;30;
2537;meat_1;29;
2540;final-crs_3;30;1520
2540;vege_0;31;
2547;vege_1;32;
2565;final-crs_2;29;1182
2582;final-crs_1;31;814
2600;final-crs_7;32;1034
2795;gate-keeper;34;
2796;gate-keeper;35;
2799;vege_0;35;
2801;frui_0;34;
2822;final-crs_7;35;1450
2843;final-crs_4;34;721
3472;gate-keeper;44;
3473;frui_0;44;
3485;final-crs_6;44;1583
3691;gate-keeper;47;
3692;vege_0;47;
3710;final-crs_2;47;767
3761;gate-keeper;48;
3764;vege_0;48;
3822;final-crs_4;48;221
4053;gate-keeper;51;
4054;vege_0;51;
4056;final-crs_4;51;188
4565;gate-keeper;56;
4566;gate-keeper;57;
4567;gate-keeper;58;
4568;frui_0;58;
4606;meat_0;56;
4606;meat_1;57;
4650;final-crs_5;58;1140
4658;final-crs_2;56;1559
4687;gate-keeper;59;
4688;gate-keeper;60;
4690;vege_1;60;
4714;final-crs_3;57;296
4727;final-crs_6;60;933
4728;meat_1;59;
4735;final-crs_0;59;476
5207;gate-keeper;66;
5218;meat_0;66;
5222;final-crs_4;66;409
5503;gate-keeper;70;
5510;vege_0;70;
5570;final-crs_8;70;1464
5618;gate-keeper;71;
5625;vege_1;71;
5653;final-crs_0;71;1034
5795;gate-keeper;73;
5796;vege_0;73;
5825;final-crs_2;73;299
6573;gate-keeper;82;
6574;gate-keeper;83;
6576;vege_0;82;
6580;vege_1;83;
6600;final-crs_5;82;1781
6652;final-crs_1;83;554
6971;gate-keeper;89;
6979;vege_0;89;
7039;final-crs_2;89;226
7296;gate-keeper;93;
7298;vege_0;93;
7308;final-crs_0;93;441
7559;gate-keeper;96;
7560;vege_0;96;
7579;final-crs_5;96;1091
7905;gate-keeper;100;
7907;vege_0;100;
7910;final-crs_3;100;460
8179;gate-keeper;104;
8180;vege_0;104;
8236;final-crs_2;104;1191
8476;gate-keeper;108;
8479;vege_0;108;
8496;final-crs_0;108;100
8735;gate-keeper;110;
8736;gate-keeper;111;
8738;vege_1;111;
8740;final-crs_0;111;1071
8747;meat_1;110;
8779;final-crs_6;110;1687
9051;gate-keeper;112;
9052;vege_1;112;
9052;gate-keeper;113;
9053;gate-keeper;114;
9054;gate-keeper;115;
9059;vege_0;114;
9062;vege_1;115;
9075;final-crs_5;112;219
9083;meat_1;113;
9090;final-crs_4;114;475
9169;final-crs_2;115;508
9173;final-crs_7;113;1359
9340;gate-keeper;116;
9341;gate-keeper;117;
9342;gate-keeper;118;
9343;gate-keeper;119;
9344;vege_1;116;
9346;vege_0;117;
9349;frui_0;119;
9353;vege_1;118;
9383;final-crs_7;116;1638
9412;final-crs_2;117;1549
9421;final-crs_8;119;1605
9447;final-crs_0;118;883
9959;gate-keeper;124;
9960;gate-keeper;125;
9961;gate-keeper;126;
9962;gate-keeper;127;
9963;vege_0;125;
10001;meat_1;124;
10006;meat_0;126;
10029;final-crs_6;125;1196
10044;final-crs_5;124;219
10048;final-crs_4;126;1383
