time;ckpt;id;money
297;gate-keeper;112;
298;gate-keeper;113;
300;frui_0;112;
302;vege_0;113;
407;final-crs_2;112;694
430;final-crs_3;113;1391
615;gate-keeper;233;
622;meat_0;233;
646;final-crs_2;233;660
833;gate-keeper;311;
834;gate-keeper;312;
835;gate-keeper;313;
836;gate-keeper;314;
837;vege_0;312;
837;frui_1;314;
837;gate-keeper;315;
838;gate-keeper;316;
840;vege_1;313;
841;frui_0;315;
844;frui_1;316;
864;meat_0;311;
873;final-crs_5;312;669
875;final-crs_2;314;357
878;gate-keeper;334;
879;frui_0;334;
894;final-crs_1;313;541
900;final-crs_10;315;186
903;final-crs_4;316;117
910;final-crs_9;311;75
910;final-crs_12;334;129
1125;gate-keeper;403;
1126;gate-keeper;404;
1127;gate-keeper;405;
1128;gate-keeper;406;
1129;meat_1;406;
1129;gate-keeper;407;
1130;frui_1;407;
1130;gate-keeper;408;
1131;gate-keeper;409;
1132;gate-keeper;410;
1133;vege_1;403;
1133;frui_0;409;
1133;gate-keeper;411;
1134;vege_0;404;
1134;gate-keeper;412;
1135;gate-keeper;413;
1136;final-crs_5;406;1463
1136;gate-keeper;414;
1137;gate-keeper;415;
1138;frui_1;410;
1138;gate-keeper;416;
1139;gate-keeper;417;
1140;frui_0;411;
1140;gate-keeper;418;
1141;gate-keeper;419;
1142;gate-keeper;420;
1143;vege_1;405;
1143;gate-keeper;421;
1144;vege_0;415;
1144;gate-keeper;422;
1145;frui_1;412;
1145;gate-keeper;423;
1146;frui_0;413;
1146;gate-keeper;424;
1147;gate-keeper;425;
1148;gate-keeper;426;
1149;gate-keeper;427;
1150;final-crs_4;407;536
1150;gate-keeper;428;
1151;gate-keeper;429;
1152;vege_1;417;
1152;frui_0;414;
1153;vege_0;418;
1153;frui_1;416;
1156;final-crs_9;403;537
1158;frui_0;421;
1160;vege_1;420;
1160;frui_1;422;
1162;vege_0;424;
1164;frui_0;423;
1166;final-crs_3;409;489
1166;frui_1;428;
1166;meat_0;408;
1167;vege_1;425;
1170;final-crs_12;404;779
1171;vege_0;426;
1176;vege_1;429;
1182;meat_1;419;
1189;final-crs_11;410;725
1209;final-crs_7;411;811
1216;final-crs_0;405;551
1227;meat_0;427;
1241;final-crs_6;415;209
1288;final-crs_8;412;77
1305;final-crs_2;413;336
1346;final-crs_10;417;960
1355;final-crs_3;414;485
1364;final-crs_9;418;99
1375;final-crs_5;416;1024
1381;final-crs_11;421;1137
1385;final-crs_4;420;1188
1403;final-crs_1;422;300
1413;final-crs_12;424;84
1437;final-crs_7;423;1515
1446;gate-keeper;544;
1447;gate-keeper;545;
1448;gate-keeper;546;
1449;gate-keeper;547;
1450;gate-keeper;548;
1451;gate-keeper;549;
1452;vege_0;544;
1452;gate-keeper;550;
1453;frui_1;548;
1465;meat_0;545;
1471;final-crs_0;428;468
1494;final-crs_6;408;1673
1514;meat_1;546;
1523;meat_0;547;
1536;final-crs_2;425;661
1551;final-crs_8;426;641
1575;meat_1;549;
1579;final-crs_10;429;498
1586;meat_0;550;
1594;final-crs_9;419;78
1595;final-crs_3;427;1180
1597;final-crs_5;544;614
1635;final-crs_4;548;405
1641;final-crs_7;545;225
1650;final-crs_1;546;103
1661;final-crs_11;547;811
1666;final-crs_12;549;103
1732;gate-keeper;658;
1733;final-crs_0;550;346
1746;meat_1;658;
1757;final-crs_6;658;407
2072;gate-keeper;785;
2075;vege_1;785;
2083;final-crs_3;785;1172
2345;gate-keeper;888;
2346;vege_1;888;
2346;gate-keeper;889;
2347;frui_0;889;
2347;gate-keeper;890;
2350;final-crs_10;888;798
2353;frui_0;890;
2354;final-crs_7;889;747
2367;final-crs_9;890;1536
2652;gate-keeper;998;
2653;gate-keeper;999;
2654;gate-keeper;1000;
2655;gate-keeper;1001;
2656;gate-keeper;1002;
2657;gate-keeper;1003;
2658;frui_1;1002;
2658;gate-keeper;1004;
2659;frui_0;1003;
2659;gate-keeper;1005;
2660;gate-keeper;1008;
2665;frui_0;1008;
2667;vege_0;1004;
2667;vege_1;1005;
2677;final-crs_8;1002;278
2685;meat_0;998;
2685;meat_1;999;
2696;final-crs_11;1003;707
2714;final-crs_0;1008;894
2727;final-crs_6;1004;571
2741;meat_1;1000;
2749;meat_0;1001;
2751;final-crs_2;1005;377
2773;final-crs_5;998;706
2785;final-crs_3;999;513
2793;final-crs_10;1000;1127
2796;final-crs_12;1001;412
2940;gate-keeper;1112;
2941;gate-keeper;1113;
2943;vege_0;1112;
2950;vege_1;1113;
2960;final-crs_11;1112;324
2995;final-crs_2;1113;1746
3246;gate-keeper;1233;
3247;gate-keeper;1234;
3248;gate-keeper;1235;
3250;vege_1;1233;
3252;final-crs_10;1233;105
3254;vege_0;1235;
3261;final-crs_3;1235;321
3289;meat_0;1234;
3294;final-crs_4;1234;754
3409;gate-keeper;1292;
3410;gate-keeper;1293;
3411;frui_0;1292;
3411;gate-keeper;1294;
3412;vege_1;1293;
3412;gate-keeper;1295;
3413;gate-keeper;1296;
3414;gate-keeper;1297;
3415;vege_0;1294;
3415;gate-keeper;1298;
3416;gate-keeper;1299;
3422;vege_1;1295;
3426;vege_0;1296;
3431;vege_1;1299;
3435;meat_1;1297;
3437;final-crs_8;1292;528
3448;final-crs_11;1293;1326
3462;meat_0;1298;
3476;final-crs_6;1294;365
3480;final-crs_10;1295;877
3484;final-crs_5;1296;449
3490;final-crs_2;1299;500
3498;final-crs_3;1297;1047
3506;final-crs_4;1298;303
3568;gate-keeper;1358;
3569;gate-keeper;1359;
3597;meat_0;1358;
3599;final-crs_7;1358;145
3614;meat_1;1359;
3655;final-crs_11;1359;752
3821;gate-keeper;1457;
3822;gate-keeper;1458;
3824;frui_0;1458;
3835;meat_0;1457;
3851;final-crs_1;1458;1461
3868;final-crs_7;1457;1149
4080;gate-keeper;1557;
4083;vege_1;1557;
4124;final-crs_7;1557;860
4274;gate-keeper;1627;
4275;gate-keeper;1628;
4276;gate-keeper;1629;
4277;gate-keeper;1630;
4278;frui_0;1629;
4279;frui_1;1630;
4283;meat_1;1627;
4297;final-crs_1;1629;2152
4313;meat_0;1628;
4322;gate-keeper;1646;
4323;gate-keeper;1647;
4324;final-crs_11;1630;303
4324;vege_0;1646;
4324;gate-keeper;1648;
4325;gate-keeper;1649;
4326;vege_1;1648;
4333;meat_1;1647;
4355;final-crs_8;1627;497
4378;meat_0;1649;
4389;final-crs_7;1628;83
4392;final-crs_0;1646;1379
4426;final-crs_9;1648;412
4448;final-crs_6;1647;1267
4449;final-crs_10;1649;541
4603;gate-keeper;1756;
4604;gate-keeper;1757;
4606;frui_0;1756;
4607;vege_0;1757;
4625;final-crs_8;1756;391
4645;final-crs_0;1757;1026
4898;gate-keeper;1859;
4899;vege_0;1859;
4899;gate-keeper;1860;
4900;gate-keeper;1861;
4901;gate-keeper;1862;
4902;gate-keeper;1863;
4903;vege_1;1861;
4903;gate-keeper;1864;
4904;gate-keeper;1865;
4905;frui_1;1862;
4905;gate-keeper;1866;
4906;gate-keeper;1867;
4907;final-crs_0;1859;200
4907;frui_0;1863;
4907;gate-keeper;1868;
4908;vege_0;1866;
4909;meat_1;1860;
4913;frui_1;1865;
4914;frui_0;1867;
4919;frui_1;1868;
4924;final-crs_3;1861;268
4924;final-crs_6;1862;189
4926;meat_0;1864;
4950;final-crs_9;1863;804
4993;final-crs_5;1866;211
4996;final-crs_12;1860;782
5007;final-crs_4;1865;417
5014;final-crs_1;1867;340
5020;final-crs_2;1868;540
5026;gate-keeper;1911;
5027;gate-keeper;1912;
5028;vege_0;1911;
5028;gate-keeper;1913;
5029;final-crs_11;1864;985
5029;gate-keeper;1914;
5030;vege_1;1912;
5030;gate-keeper;1915;
5032;frui_1;1914;
5037;vege_0;1913;
