time;ckpt;id;money
289;gate-keeper;0;
290;gate-keeper;1;
291;gate-keeper;2;
292;gate-keeper;3;
293;gate-keeper;4;
296;vege_1;0;
299;vege_0;1;
307;vege_1;2;
310;vege_0;3;
317;vege_1;4;
442;final-crs_2;0;2956
485;final-crs_5;1;1512
485;final-crs_6;2;1775
486;final-crs_7;3;847
487;final-crs_1;4;69
595;gate-keeper;10;
596;vege_0;10;
689;final-crs_6;10;2768
875;gate-keeper;15;
882;vege_0;15;
934;final-crs_1;15;817
1530;gate-keeper;27;
1531;vege_0;27;
1531;gate-keeper;28;
1533;meat_1;28;
1561;final-crs_3;27;3285
1628;final-crs_7;28;1280
1838;gate-keeper;34;
1846;meat_1;34;
1867;gate-keeper;35;
1869;frui_1;35;
1877;final-crs_7;34;2478
1888;final-crs_6;35;1078
2162;gate-keeper;39;
2163;vege_1;39;
2163;gate-keeper;40;
2164;gate-keeper;41;
2166;vege_0;41;
2183;meat_1;40;
2235;final-crs_4;39;752
2255;final-crs_8;41;618
2279;final-crs_3;40;1265
2446;gate-keeper;45;
2447;gate-keeper;46;
2451;vege_0;45;
2473;meat_0;46;
2533;final-crs_3;45;1583
2541;final-crs_8;46;143
2731;gate-keeper;50;
2732;gate-keeper;51;
2736;vege_0;50;
2737;vege_1;51;
2764;final-crs_8;50;400
2769;final-crs_3;51;1483
2804;gate-keeper;53;
2808;vege_0;53;
2857;final-crs_5;53;2990
3017;gate-keeper;56;
3018;gate-keeper;57;
3020;vege_1;57;
3023;meat_0;56;
3084;final-crs_5;57;1372
3118;final-crs_4;56;370
3330;gate-keeper;62;
3331;gate-keeper;63;
3334;frui_1;63;
3335;vege_1;62;
3348;final-crs_1;63;1407
3353;final-crs_4;62;225
3391;gate-keeper;64;
3402;meat_1;64;
3416;final-crs_8;64;2314
3581;gate-keeper;67;
3582;gate-keeper;68;
3586;vege_0;67;
3591;vege_1;68;
3610;final-crs_6;67;2332
3639;final-crs_2;68;103
3706;gate-keeper;69;
3707;gate-keeper;70;
3708;meat_0;70;
3709;vege_1;69;
3737;final-crs_0;70;2100
3737;final-crs_3;69;2083
3896;gate-keeper;73;
3897;gate-keeper;74;
3901;frui_0;73;
3902;frui_1;74;
3906;final-crs_8;73;2008
3947;final-crs_7;74;1153
4265;gate-keeper;78;
4266;gate-keeper;79;
4267;gate-keeper;80;
4268;gate-keeper;81;
4273;vege_1;78;
4274;vege_0;79;
4281;final-crs_4;78;498
4283;vege_0;80;
4284;vege_1;81;
4287;final-crs_1;79;1477
4356;final-crs_6;80;2028
4372;final-crs_2;81;3254
4580;gate-keeper;86;
4581;gate-keeper;87;
4583;vege_0;86;
4584;vege_1;87;
4596;gate-keeper;88;
4604;vege_0;88;
4611;final-crs_6;86;172
4626;final-crs_2;87;1365
4628;final-crs_0;88;1834
4866;gate-keeper;90;
4867;gate-keeper;91;
4868;gate-keeper;92;
4869;gate-keeper;93;
4871;frui_1;91;
4874;vege_1;90;
4875;final-crs_2;91;1756
4875;vege_0;92;
4880;meat_1;93;
4931;final-crs_3;90;375
4932;final-crs_8;92;465
4974;final-crs_7;93;2344
5177;gate-keeper;97;
5178;frui_1;97;
5178;gate-keeper;98;
5179;gate-keeper;99;
5181;vege_0;98;
5190;meat_0;99;
5213;final-crs_7;97;842
5214;final-crs_1;98;808
5236;final-crs_5;99;706
5453;gate-keeper;104;
5454;gate-keeper;105;
5456;frui_1;105;
5460;vege_0;104;
5462;final-crs_5;105;730
5478;final-crs_4;104;1578
5514;gate-keeper;106;
5517;vege_0;106;
5547;final-crs_2;106;1200
5719;gate-keeper;110;
5723;vege_0;110;
5741;final-crs_5;110;1783
6060;gate-keeper;116;
6061;gate-keeper;117;
6062;vege_1;116;
6064;vege_0;117;
6077;final-crs_0;116;2220
6091;final-crs_3;117;413
6343;gate-keeper;121;
6344;gate-keeper;122;
6347;frui_1;121;
6348;vege_0;122;
6349;final-crs_3;121;688
6351;final-crs_8;122;2184
6549;gate-keeper;125;
6550;gate-keeper;126;
6552;vege_0;125;
6554;frui_1;126;
6568;final-crs_7;125;1398
6587;final-crs_8;126;1724
6655;gate-keeper;127;
6656;vege_0;127;
6656;gate-keeper;128;
6657;gate-keeper;129;
6659;vege_1;128;
6660;final-crs_1;127;901
6660;frui_1;129;
6663;final-crs_5;128;381
6700;final-crs_2;129;2549
6982;gate-keeper;133;
6983;gate-keeper;134;
6984;gate-keeper;135;
6987;vege_1;133;
6991;vege_0;134;
6992;final-crs_2;133;1870
6996;vege_1;135;
7022;final-crs_0;134;906
7045;final-crs_7;135;1013
7285;gate-keeper;139;
7286;gate-keeper;140;
7287;gate-keeper;141;
7289;vege_0;139;
7292;vege_1;140;
7296;vege_0;141;
7299;final-crs_7;139;271
7368;final-crs_8;140;552
7391;final-crs_3;141;852
7646;gate-keeper;144;
7647;vege_1;144;
7647;gate-keeper;145;
7648;final-crs_1;144;3690
7648;vege_0;145;
7648;gate-keeper;146;
7649;gate-keeper;147;
7650;gate-keeper;148;
7656;vege_0;146;
7656;vege_1;148;
7657;meat_1;147;
7663;final-crs_6;145;839
7716;final-crs_2;146;629
7789;final-crs_7;148;196
7813;final-crs_0;147;2324
8228;gate-keeper;158;
8229;gate-keeper;159;
8230;gate-keeper;160;
8232;vege_1;158;
8233;vege_0;159;
8242;vege_1;160;
8246;final-crs_0;158;280
8259;gate-keeper;161;
8264;vege_0;161;
8300;final-crs_3;159;2110
8311;final-crs_4;160;1792
8314;final-crs_6;161;2640
8504;gate-keeper;164;
8505;gate-keeper;165;
8506;frui_1;165;
8506;gate-keeper;166;
8511;vege_0;166;
8536;final-crs_3;165;922
8546;meat_1;164;
8554;final-crs_6;166;271
8565;final-crs_4;164;1109
8778;gate-keeper;169;
8779;vege_1;169;
8779;gate-keeper;170;
8780;gate-keeper;171;
8784;vege_0;170;
8789;vege_1;171;
8799;final-crs_5;169;499
8801;final-crs_6;170;1928
8809;final-crs_4;171;1379
9078;gate-keeper;177;
9132;meat_0;177;
9135;final-crs_7;177;559
9246;gate-keeper;180;
9247;gate-keeper;181;
9248;frui_1;180;
9249;meat_0;181;
9265;final-crs_0;180;1245
9270;final-crs_8;181;2311
9407;gate-keeper;182;
9408;frui_1;182;
9408;gate-keeper;183;
9409;gate-keeper;184;
9412;vege_1;183;
9414;frui_0;184;
9457;final-crs_3;182;776
9500;final-crs_0;183;281
9503;final-crs_4;184;1635
9695;gate-keeper;188;
9696;gate-keeper;189;
9697;gate-keeper;190;
9698;frui_1;188;
9700;vege_0;190;
9711;meat_1;189;
9740;final-crs_6;188;1943
9791;final-crs_4;190;1303
9793;final-crs_5;189;1122
9951;gate-keeper;195;
9993;meat_0;195;
10016;final-crs_8;195;1794
10188;gate-keeper;199;
10189;gate-keeper;200;
10191;frui_0;200;
10194;vege_0;199;
10249;final-crs_6;200;3244
10249;gate-keeper;201;
10250;vege_1;201;
10251;final-crs_2;199;205
10257;final-crs_5;201;2740
10715;gate-keeper;210;
10716;vege_0;210;
10730;final-crs_7;210;2062
10878;gate-keeper;213;
10885;vege_0;213;
10956;final-crs_5;213;1686
11746;gate-keeper;227;
11747;gate-keeper;228;
11748;gate-keeper;229;
11749;gate-keeper;230;
11750;vege_1;227;
11754;final-crs_5;227;978
11755;vege_0;228;
11757;meat_0;229;
11763;final-crs_4;228;301
11768;final-crs_3;229;1383
11795;meat_1;230;
11796;final-crs_0;230;241
12008;gate-keeper;235;
12009;gate-keeper;236;
12010;vege_0;235;
12012;vege_1;236;
12053;final-crs_3;235;2381
12163;final-crs_1;236;1435
12182;gate-keeper;238;
12183;gate-keeper;239;
12186;vege_1;238;
12190;vege_0;239;
12194;final-crs_0;238;2049
12203;final-crs_7;239;1821
12271;gate-keeper;240;
12272;gate-keeper;241;
12273;vege_0;240;
12279;final-crs_4;240;1749
12279;vege_1;241;
12304;final-crs_3;241;1289
12528;gate-keeper;246;
12530;frui_0;246;
12649;final-crs_7;246;2859
12812;gate-keeper;251;
12818;vege_1;251;
12877;final-crs_7;251;1907
13040;gate-keeper;253;
13041;gate-keeper;254;
13042;vege_1;253;
13042;gate-keeper;255;
13043;gate-keeper;256;
13046;frui_0;255;
